run,dx,dy,dz,dvx,dvy,dvz,missDistance,interceptTime,hit
99,87.0453,-125.194,191.74,4426.56,-14.7468,42.5175,8.29893,2.119,1
100,-95.3392,-12.614,20.385,4423.83,35.8364,-30.2944,12.8313,2.1577,0
101,152.188,-2.71384,92.1705,4379.72,-23.5131,-7.09665,10.0409,2.1049,0
102,-24.4183,51.8851,133.499,4415.61,-0.318538,-50.5264,11.9196,2.1427,0
103,8.8361,-9.93983,-166.327,4418.35,-22.3692,57.3956,12.7208,2.1359,0
104,2.09465,26.6947,63.5124,4386.68,13.0383,-1.08885,10.8808,2.137,0
105,-27.043,118.315,-64.5307,4385.06,7.34408,-7.13627,12.7644,2.1434,0
106,27.5187,-75.8654,-17.1357,4416.76,0.416174,20.381,11.6923,2.1316,0
107,-171.463,71.0353,108.248,4368.5,-11.1352,-0.634898,10.738,2.1742,0
108,-35.2332,-95.242,-102.52,4411.75,5.03291,27.4167,12.6624,2.1452,0
109,-94.4373,-74.0156,-60.1917,4386.25,3.40473,25.072,11.8843,2.1578,0
110,-24.9543,-95.7341,29.8704,4348.57,18.5786,41.9384,8.61238,2.143,1
111,117.4,76.0148,29.8727,4438.04,-1.544,12.1592,10.2528,2.1122,0
